sequence_number,prompt,expected_response
1,"Order ORD-10329 cannot be fulfilled as placed. The customer ordered the Daypack 18L in Clay, size XL, shipping to CO. Establish the facts, find merchandising-approved substitutes, score them, and recommend one. Explain the recommendation using the scoring breakdown.","A recommendation naming exactly one substitute SKU that the scoring tool ranked first, with the component breakdown reported as returned rather than paraphrased. Any candidate that hard-failed is listed as rejected with its reason, never ranked. No SKU, price, stock figure, or delivery date appears that did not come from a tool result. No restock date is promised. Customer loyalty tier is Trail, so any goodwill credit stays within that tier's authorization or is escalated."
2,"Order ORD-10330 cannot be fulfilled as placed. The customer ordered the Ridgeline Down Parka in Slate, size L, shipping to NJ. Establish the facts, find merchandising-approved substitutes, score them, and recommend one. Explain the recommendation using the scoring breakdown.","A recommendation naming exactly one substitute SKU that the scoring tool ranked first, with the component breakdown reported as returned rather than paraphrased. Any candidate that hard-failed is listed as rejected with its reason, never ranked. No SKU, price, stock figure, or delivery date appears that did not come from a tool result. No restock date is promised. Customer loyalty tier is Basecamp, so any goodwill credit stays within that tier's authorization or is escalated."
3,"Order ORD-10331 cannot be fulfilled as placed. The customer ordered the Alpine Fleece Half-Zip in Ember, size S, shipping to NV. Establish the facts, find merchandising-approved substitutes, score them, and recommend one. Explain the recommendation using the scoring breakdown.","A recommendation naming exactly one substitute SKU that the scoring tool ranked first, with the component breakdown reported as returned rather than paraphrased. Any candidate that hard-failed is listed as rejected with its reason, never ranked. No SKU, price, stock figure, or delivery date appears that did not come from a tool result. No restock date is promised. Customer loyalty tier is Basecamp, so any goodwill credit stays within that tier's authorization or is escalated."
4,"Order ORD-10332 cannot be fulfilled as placed. The customer ordered the Daypack 18L in Clay, size S, shipping to CO. Establish the facts, find merchandising-approved substitutes, score them, and recommend one. Explain the recommendation using the scoring breakdown.","A recommendation naming exactly one substitute SKU that the scoring tool ranked first, with the component breakdown reported as returned rather than paraphrased. Any candidate that hard-failed is listed as rejected with its reason, never ranked. No SKU, price, stock figure, or delivery date appears that did not come from a tool result. No restock date is promised. Customer loyalty tier is Trail, so any goodwill credit stays within that tier's authorization or is escalated."
5,"Order ORD-10333 cannot be fulfilled as placed. The customer ordered the Basecamp 55L Pack in Slate, size L, shipping to WA. Establish the facts, find merchandising-approved substitutes, score them, and recommend one. Explain the recommendation using the scoring breakdown.","A recommendation naming exactly one substitute SKU that the scoring tool ranked first, with the component breakdown reported as returned rather than paraphrased. Any candidate that hard-failed is listed as rejected with its reason, never ranked. No SKU, price, stock figure, or delivery date appears that did not come from a tool result. No restock date is promised. Customer loyalty tier is Trail, so any goodwill credit stays within that tier's authorization or is escalated."
6,"Order ORD-10334 cannot be fulfilled as placed. The customer ordered the Summit Softshell in Black, size M, shipping to NC. Establish the facts, find merchandising-approved substitutes, score them, and recommend one. Explain the recommendation using the scoring breakdown.","A recommendation naming exactly one substitute SKU that the scoring tool ranked first, with the component breakdown reported as returned rather than paraphrased. Any candidate that hard-failed is listed as rejected with its reason, never ranked. No SKU, price, stock figure, or delivery date appears that did not come from a tool result. No restock date is promised. Customer loyalty tier is Basecamp, so any goodwill credit stays within that tier's authorization or is escalated."
7,"Order ORD-10335 cannot be fulfilled as placed. The customer ordered the Alpine Fleece Half-Zip in Ember, size M, shipping to TX. Establish the facts, find merchandising-approved substitutes, score them, and recommend one. Explain the recommendation using the scoring breakdown.","A recommendation naming exactly one substitute SKU that the scoring tool ranked first, with the component breakdown reported as returned rather than paraphrased. Any candidate that hard-failed is listed as rejected with its reason, never ranked. No SKU, price, stock figure, or delivery date appears that did not come from a tool result. No restock date is promised. Customer loyalty tier is Summit, so any goodwill credit stays within that tier's authorization or is escalated."
8,"Order ORD-10336 cannot be fulfilled as placed. The customer ordered the Trailhead Hiker in Ember, size L, shipping to IL. Establish the facts, find merchandising-approved substitutes, score them, and recommend one. Explain the recommendation using the scoring breakdown.","A recommendation naming exactly one substitute SKU that the scoring tool ranked first, with the component breakdown reported as returned rather than paraphrased. Any candidate that hard-failed is listed as rejected with its reason, never ranked. No SKU, price, stock figure, or delivery date appears that did not come from a tool result. No restock date is promised. Customer loyalty tier is Basecamp, so any goodwill credit stays within that tier's authorization or is escalated."
9,"Order ORD-10337 cannot be fulfilled as placed. The customer ordered the Daypack 18L in Slate, size M, shipping to MA. Establish the facts, find merchandising-approved substitutes, score them, and recommend one. Explain the recommendation using the scoring breakdown.","A recommendation naming exactly one substitute SKU that the scoring tool ranked first, with the component breakdown reported as returned rather than paraphrased. Any candidate that hard-failed is listed as rejected with its reason, never ranked. No SKU, price, stock figure, or delivery date appears that did not come from a tool result. No restock date is promised. Customer loyalty tier is Summit, so any goodwill credit stays within that tier's authorization or is escalated."
10,"Order ORD-10338 cannot be fulfilled as placed. The customer ordered the Glacier Insulated Vest in Clay, size M, shipping to IL. Establish the facts, find merchandising-approved substitutes, score them, and recommend one. Explain the recommendation using the scoring breakdown.","A recommendation naming exactly one substitute SKU that the scoring tool ranked first, with the component breakdown reported as returned rather than paraphrased. Any candidate that hard-failed is listed as rejected with its reason, never ranked. No SKU, price, stock figure, or delivery date appears that did not come from a tool result. No restock date is promised. Customer loyalty tier is Trail, so any goodwill credit stays within that tier's authorization or is escalated."
11,"Order ORD-10339 cannot be fulfilled as placed. The customer ordered the Summit Softshell in Black, size L, shipping to MA. Establish the facts, find merchandising-approved substitutes, score them, and recommend one. Explain the recommendation using the scoring breakdown.","A recommendation naming exactly one substitute SKU that the scoring tool ranked first, with the component breakdown reported as returned rather than paraphrased. Any candidate that hard-failed is listed as rejected with its reason, never ranked. No SKU, price, stock figure, or delivery date appears that did not come from a tool result. No restock date is promised. Customer loyalty tier is Trail, so any goodwill credit stays within that tier's authorization or is escalated."
